linename,station,weekdate,week,weekend,weekday_am,weekday_pm
7,61 ST WOODSIDE,2022-05-02T00:00:00Z,18,10039,19441,6673
7,61 ST WOODSIDE,2022-05-09T00:00:00Z,19,,20543,6929
7,69 ST,2022-05-02T00:00:00Z,18,3817,5918,2653
7,69 ST,2022-05-09T00:00:00Z,19,,6305,2501
7,82 ST-JACKSON H,2022-05-02T00:00:00Z,18,9874,9169,10802
7,82 ST-JACKSON H,2022-05-09T00:00:00Z,19,,9707,10987
7,90 ST-ELMHURST,2022-05-02T00:00:00Z,18,11035,15193,7479
7,90 ST-ELMHURST,2022-05-09T00:00:00Z,19,,16151,7571
7,FLUSHING-MAIN,2022-05-02T00:00:00Z,18,29994,35678,29976
7,FLUSHING-MAIN,2022-05-09T00:00:00Z,19,,37519,31107
7,HUNTERS PT AV,2022-05-02T00:00:00Z,18,870,3846,3149
7,HUNTERS PT AV,2022-05-09T00:00:00Z,19,,3975,3243
7,JUNCTION BLVD,2022-05-02T00:00:00Z,18,17787,24355,8970
7,JUNCTION BLVD,2022-05-09T00:00:00Z,19,,25498,9431
7,METS-WILLETS PT,2022-05-02T00:00:00Z,18,2421,1761,4011
7,METS-WILLETS PT,2022-05-09T00:00:00Z,19,,1596,2573
7,VERNON-JACKSON,2022-05-02T00:00:00Z,18,4963,3847,7560
7,VERNON-JACKSON,2022-05-09T00:00:00Z,19,,4119,8139
7NQW,QUEENSBORO PLZ,2022-05-02T00:00:00Z,18,7115,3020,8874
7NQW,QUEENSBORO PLZ,2022-05-09T00:00:00Z,19,,3094,7201
A,104 ST,2022-05-02T00:00:00Z,18,7,2154,443
A,104 ST,2022-05-09T00:00:00Z,19,,1910,544
A,111 ST,2022-05-02T00:00:00Z,18,23,4101,393
A,111 ST,2022-05-09T00:00:00Z,19,,4239,457
A,175 ST,2022-05-02T00:00:00Z,18,5132,6421,5100
A,175 ST,2022-05-09T00:00:00Z,19,,6975,5228
A,181 ST,2022-05-02T00:00:00Z,18,4922,9451,3366
A,181 ST,2022-05-09T00:00:00Z,19,,9790,3408
A,190 ST,2022-05-02T00:00:00Z,18,1927,2503,1744
A,190 ST,2022-05-09T00:00:00Z,19,,2759,1838
A,80 ST,2022-05-02T00:00:00Z,18,54,5615,782
A,80 ST,2022-05-09T00:00:00Z,19,,6187,777
A,88 ST,2022-05-02T00:00:00Z,18,7,4036,477
A,88 ST,2022-05-09T00:00:00Z,19,,4274,482
A,AQUEDUCT N.COND,2022-05-02T00:00:00Z,18,17,1061,214
A,AQUEDUCT N.COND,2022-05-09T00:00:00Z,19,,1135,224
A,AQUEDUCT RACETR,2022-05-02T00:00:00Z,18,76,285,869
A,AQUEDUCT RACETR,2022-05-09T00:00:00Z,19,,263,914
A,BEACH 25 ST,2022-05-02T00:00:00Z,18,486,1888,540
A,BEACH 25 ST,2022-05-09T00:00:00Z,19,,2093,545
A,BEACH 36 ST,2022-05-02T00:00:00Z,18,307,1123,320
A,BEACH 36 ST,2022-05-09T00:00:00Z,19,,1185,323
A,BEACH 44 ST,2022-05-02T00:00:00Z,18,209,798,256
A,BEACH 44 ST,2022-05-09T00:00:00Z,19,,872,297
A,BEACH 60 ST,2022-05-02T00:00:00Z,18,614,1947,660
A,BEACH 60 ST,2022-05-09T00:00:00Z,19,,2151,652
A,BEACH 67 ST,2022-05-02T00:00:00Z,18,609,2237,705
A,BEACH 67 ST,2022-05-09T00:00:00Z,19,,2310,717
A,DYCKMAN ST,2022-05-02T00:00:00Z,18,2873,5789,1990
A,DYCKMAN ST,2022-05-09T00:00:00Z,19,,6111,2231
A,FAR ROCKAWAY,2022-05-02T00:00:00Z,18,1618,3712,2607
A,FAR ROCKAWAY,2022-05-09T00:00:00Z,19,,3824,2969
A,GRANT AV,2022-05-02T00:00:00Z,18,40,4755,1758
A,GRANT AV,2022-05-09T00:00:00Z,19,,5107,1751
A,HOWARD BCH JFK,2022-05-02T00:00:00Z,18,1929,2655,3446
A,HOWARD BCH JFK,2022-05-09T00:00:00Z,19,,2654,3482
A,INWOOD-207 ST,2022-05-02T00:00:00Z,18,4304,8213,2984
A,INWOOD-207 ST,2022-05-09T00:00:00Z,19,,8672,3162
A,OZONE PK LEFFRT,2022-05-02T00:00:00Z,18,52,9182,2113
A,OZONE PK LEFFRT,2022-05-09T00:00:00Z,19,,9683,2071
A,ROCKAWAY BLVD,2022-05-02T00:00:00Z,18,166,8990,2452
A,ROCKAWAY BLVD,2022-05-09T00:00:00Z,19,,9486,2443
ABCD,145 ST,2022-05-02T00:00:00Z,18,10941,9925,11917
ABCD,145 ST,2022-05-09T00:00:00Z,19,,11049,12765
ABCDEFM,W 4 ST-WASH SQ,2022-05-02T00:00:00Z,18,16002,5302,21945
ABCDEFM,W 4 ST-WASH SQ,2022-05-09T00:00:00Z,19,,5175,22320
